"Cement","Slag","Ash","Water","SuperP","Coarse","Fine","Age","CompressiveStrength","HasAsh","HasSuperP"
318.8,212.5,0,155.7,14.3,852.1,880.4,3,25.2,FALSE,TRUE
401.8,94.7,0,147.4,11.4,946.8,852.1,3,41.1,FALSE,TRUE
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3,FALSE,TRUE
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.3,FALSE,TRUE
379.5,151.2,0,153.9,15.9,1134.3,605,3,28.6,FALSE,TRUE
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3,FALSE,TRUE
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,24.4,FALSE,TRUE
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3,FALSE,TRUE
439,177,0,186,11.1,884.9,707.9,3,39.3,FALSE,TRUE
389.9,189,0,145.9,22,944.7,755.8,3,40.6,FALSE,TRUE
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3,FALSE,TRUE
337.9,189,0,174.9,9.5,944.7,755.8,3,24.1,FALSE,TRUE
374,189.2,0,170.1,10.1,926.1,756.7,7,46.2,FALSE,TRUE
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.8,FALSE,TRUE
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2,FALSE,TRUE
425,106.3,0,151.4,18.6,936,803.7,7,46.8,FALSE,TRUE
375,93.8,0,126.6,23.4,852.1,992.6,7,45.7,FALSE,TRUE
475,118.8,0,181.1,8.9,852.1,781.5,7,55.6,FALSE,TRUE
469,117.2,0,137.8,32.2,852.1,840.5,7,54.9,FALSE,TRUE
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2,FALSE,TRUE
388.6,97.1,0,157.9,12.1,852.1,925.7,7,34.9,FALSE,TRUE
531.3,0,0,141.8,28.2,852.1,893.7,7,46.9,FALSE,TRUE
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2,FALSE,TRUE
318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.4,FALSE,TRUE
401.8,94.7,0,147.4,11.4,946.8,852.1,7,54.1,FALSE,TRUE
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9,FALSE,TRUE
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.8,FALSE,TRUE
379.5,151.2,0,153.9,15.9,1134.3,605,7,47.1,FALSE,TRUE
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9,FALSE,TRUE
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,38,FALSE,TRUE
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9,FALSE,TRUE
439,177,0,186,11.1,884.9,707.9,7,56.1,FALSE,TRUE
389.9,189,0,145.9,22,944.7,755.8,7,59.09,FALSE,TRUE
362.6,189,0,164.9,11.6,944.7,755.8,7,22.9,FALSE,TRUE
337.9,189,0,174.9,9.5,944.7,755.8,7,35.1,FALSE,TRUE
374,189.2,0,170.1,10.1,926.1,756.7,28,61.09,FALSE,TRUE
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,59.8,FALSE,TRUE
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29,FALSE,TRUE
425,106.3,0,151.4,18.6,936,803.7,28,61.8,FALSE,TRUE
375,93.8,0,126.6,23.4,852.1,992.6,28,56.7,FALSE,TRUE
475,118.8,0,181.1,8.9,852.1,781.5,28,68.3,FALSE,TRUE
469,117.2,0,137.8,32.2,852.1,840.5,28,66.9,FALSE,TRUE
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29,FALSE,TRUE
388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.7,FALSE,TRUE
531.3,0,0,141.8,28.2,852.1,893.7,28,56.4,FALSE,TRUE
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29,FALSE,TRUE
318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.5,FALSE,TRUE
401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.5,FALSE,TRUE
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3,FALSE,TRUE
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.7,FALSE,TRUE
379.5,151.2,0,153.9,15.9,1134.3,605,28,52.2,FALSE,TRUE
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3,FALSE,TRUE
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.7,FALSE,TRUE
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3,FALSE,TRUE
439,177,0,186,11.1,884.9,707.9,28,66,FALSE,TRUE
389.9,189,0,145.9,22,944.7,755.8,28,74.5,FALSE,TRUE
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3,FALSE,TRUE
337.9,189,0,174.9,9.5,944.7,755.8,28,49.9,FALSE,TRUE
374,189.2,0,170.1,10.1,926.1,756.7,56,63.4,FALSE,TRUE
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.9,FALSE,TRUE
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3,FALSE,TRUE
425,106.3,0,151.4,18.6,936,803.7,56,64.9,FALSE,TRUE
375,93.8,0,126.6,23.4,852.1,992.6,56,60.2,FALSE,TRUE
475,118.8,0,181.1,8.9,852.1,781.5,56,72.3,FALSE,TRUE
469,117.2,0,137.8,32.2,852.1,840.5,56,69.3,FALSE,TRUE
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3,FALSE,TRUE
388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.2,FALSE,TRUE
531.3,0,0,141.8,28.2,852.1,893.7,56,58.8,FALSE,TRUE
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3,FALSE,TRUE
318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.1,FALSE,TRUE
401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.7,FALSE,TRUE
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3,FALSE,TRUE
323.7,282.8,0,183.8,10.3,942.7,659.9,56,80.2,FALSE,TRUE
379.5,151.2,0,153.9,15.9,1134.3,605,56,54.9,FALSE,TRUE
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3,FALSE,TRUE
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99,FALSE,TRUE
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3,FALSE,TRUE
439,177,0,186,11.1,884.9,707.9,56,71.7,FALSE,TRUE
389.9,189,0,145.9,22,944.7,755.8,56,79.4,FALSE,TRUE
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3,FALSE,TRUE
337.9,189,0,174.9,9.5,944.7,755.8,56,59.89,FALSE,TRUE
374,189.2,0,170.1,10.1,926.1,756.7,91,64.9,FALSE,TRUE
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.6,FALSE,TRUE
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2,FALSE,TRUE
425,106.3,0,151.4,18.6,936,803.7,91,66.7,FALSE,TRUE
375,93.8,0,126.6,23.4,852.1,992.6,91,62.5,FALSE,TRUE
475,118.8,0,181.1,8.9,852.1,781.5,91,74.19,FALSE,TRUE
469,117.2,0,137.8,32.2,852.1,840.5,91,70.7,FALSE,TRUE
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2,FALSE,TRUE
388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.6,FALSE,TRUE
531.3,0,0,141.8,28.2,852.1,893.7,91,59.2,FALSE,TRUE
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2,FALSE,TRUE
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.1,FALSE,TRUE
401.8,94.7,0,147.4,11.4,946.8,852.1,91,75.5,FALSE,TRUE
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3,FALSE,TRUE
379.5,151.2,0,153.9,15.9,1134.3,605,91,56.5,FALSE,TRUE
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3,FALSE,TRUE
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.8,FALSE,TRUE
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3,FALSE,TRUE
439,177,0,186,11.1,884.9,707.9,91,73.3,FALSE,TRUE
389.9,189,0,145.9,22,944.7,755.8,91,82.6,FALSE,TRUE
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3,FALSE,TRUE
337.9,189,0,174.9,9.5,944.7,755.8,91,67.8,FALSE,TRUE
222.4,0,96.7,189.3,4.5,967.1,870.3,3,11.58,TRUE,TRUE
222.4,0,96.7,189.3,4.5,967.1,870.3,14,24.45,TRUE,TRUE
222.4,0,96.7,189.3,4.5,967.1,870.3,28,24.89,TRUE,TRUE
222.4,0,96.7,189.3,4.5,967.1,870.3,56,29.45,TRUE,TRUE
222.4,0,96.7,189.3,4.5,967.1,870.3,100,40.71,TRUE,TRUE
233.8,0,94.6,197.9,4.6,947,852.2,3,10.38,TRUE,TRUE
233.8,0,94.6,197.9,4.6,947,852.2,14,22.14,TRUE,TRUE
233.8,0,94.6,197.9,4.6,947,852.2,28,22.84,TRUE,TRUE
233.8,0,94.6,197.9,4.6,947,852.2,56,27.66,TRUE,TRUE
233.8,0,94.6,197.9,4.6,947,852.2,100,34.56,TRUE,TRUE
194.7,0,100.5,165.6,7.5,1006.4,905.9,3,12.45,TRUE,TRUE
194.7,0,100.5,165.6,7.5,1006.4,905.9,14,24.99,TRUE,TRUE
194.7,0,100.5,165.6,7.5,1006.4,905.9,28,25.72,TRUE,TRUE
194.7,0,100.5,165.6,7.5,1006.4,905.9,56,33.96,TRUE,TRUE
194.7,0,100.5,165.6,7.5,1006.4,905.9,100,37.34,TRUE,TRUE
190.7,0,125.4,162.1,7.8,1090,804,3,15.04,TRUE,TRUE
190.7,0,125.4,162.1,7.8,1090,804,14,21.06,TRUE,TRUE
190.7,0,125.4,162.1,7.8,1090,804,28,26.4,TRUE,TRUE
190.7,0,125.4,162.1,7.8,1090,804,56,35.34,TRUE,TRUE
190.7,0,125.4,162.1,7.8,1090,804,100,40.57,TRUE,TRUE
212.1,0,121.6,180.3,5.7,1057.6,779.3,3,12.47,TRUE,TRUE
212.1,0,121.6,180.3,5.7,1057.6,779.3,14,20.92,TRUE,TRUE
212.1,0,121.6,180.3,5.7,1057.6,779.3,28,24.9,TRUE,TRUE
212.1,0,121.6,180.3,5.7,1057.6,779.3,56,34.2,TRUE,TRUE
212.1,0,121.6,180.3,5.7,1057.6,779.3,100,39.61,TRUE,TRUE
230,0,118.3,195.5,4.6,1029.4,758.6,3,10.03,TRUE,TRUE
230,0,118.3,195.5,4.6,1029.4,758.6,14,20.08,TRUE,TRUE
230,0,118.3,195.5,4.6,1029.4,758.6,28,24.48,TRUE,TRUE
230,0,118.3,195.5,4.6,1029.4,758.6,56,31.54,TRUE,TRUE
230,0,118.3,195.5,4.6,1029.4,758.6,100,35.34,TRUE,TRUE
190.3,0,125.2,161.9,9.9,1088.1,802.6,3,9.45,TRUE,TRUE
190.3,0,125.2,161.9,9.9,1088.1,802.6,14,22.72,TRUE,TRUE
190.3,0,125.2,161.9,9.9,1088.1,802.6,28,28.47,TRUE,TRUE
190.3,0,125.2,161.9,9.9,1088.1,802.6,56,38.56,TRUE,TRUE
190.3,0,125.2,161.9,9.9,1088.1,802.6,100,40.39,TRUE,TRUE
166.1,0,163.3,176.5,4.5,1058.6,780.1,3,10.76,TRUE,TRUE
166.1,0,163.3,176.5,4.5,1058.6,780.1,14,25.48,TRUE,TRUE
166.1,0,163.3,176.5,4.5,1058.6,780.1,28,21.54,TRUE,TRUE
166.1,0,163.3,176.5,4.5,1058.6,780.1,56,28.63,TRUE,TRUE
166.1,0,163.3,176.5,4.5,1058.6,780.1,100,33.54,TRUE,TRUE
168,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75,TRUE,TRUE
168,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82,TRUE,TRUE
168,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24,TRUE,TRUE
168,42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85,TRUE,TRUE
168,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23,TRUE,TRUE
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18,TRUE,TRUE
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39,TRUE,TRUE
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71,TRUE,TRUE
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77,TRUE,TRUE
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9,TRUE,TRUE
213.8,98.1,24.5,181.7,6.7,1066,785.5,3,13.18,TRUE,TRUE
213.8,98.1,24.5,181.7,6.7,1066,785.5,14,17.84,TRUE,TRUE
213.8,98.1,24.5,181.7,6.7,1066,785.5,28,40.23,TRUE,TRUE
213.8,98.1,24.5,181.7,6.7,1066,785.5,56,47.13,TRUE,TRUE
213.8,98.1,24.5,181.7,6.7,1066,785.5,100,49.97,TRUE,TRUE
229.7,0,118.2,195.2,6.1,1028.1,757.6,3,13.36,TRUE,TRUE
229.7,0,118.2,195.2,6.1,1028.1,757.6,14,22.32,TRUE,TRUE
229.7,0,118.2,195.2,6.1,1028.1,757.6,28,24.54,TRUE,TRUE
229.7,0,118.2,195.2,6.1,1028.1,757.6,56,31.35,TRUE,TRUE
229.7,0,118.2,195.2,6.1,1028.1,757.6,100,40.86,TRUE,TRUE
238.1,0,94.1,186.7,7,949.9,847,3,19.93,TRUE,TRUE
238.1,0,94.1,186.7,7,949.9,847,14,25.69,TRUE,TRUE
238.1,0,94.1,186.7,7,949.9,847,28,30.23,TRUE,TRUE
238.1,0,94.1,186.7,7,949.9,847,56,39.59,TRUE,TRUE
238.1,0,94.1,186.7,7,949.9,847,100,44.3,TRUE,TRUE
250,0,95.7,187.4,5.5,956.9,861.2,3,13.82,TRUE,TRUE
250,0,95.7,187.4,5.5,956.9,861.2,14,24.92,TRUE,TRUE
250,0,95.7,187.4,5.5,956.9,861.2,28,29.22,TRUE,TRUE
250,0,95.7,187.4,5.5,956.9,861.2,56,38.33,TRUE,TRUE
250,0,95.7,187.4,5.5,956.9,861.2,100,42.35,TRUE,TRUE
212.5,0,100.4,159.3,8.7,1007.8,903.6,3,13.54,TRUE,TRUE
212.5,0,100.4,159.3,8.7,1007.8,903.6,14,26.31,TRUE,TRUE
212.5,0,100.4,159.3,8.7,1007.8,903.6,28,31.64,TRUE,TRUE
212.5,0,100.4,159.3,8.7,1007.8,903.6,56,42.55,TRUE,TRUE
212.5,0,100.4,159.3,8.7,1007.8,903.6,100,42.92,TRUE,TRUE
212.6,0,100.4,159.4,10.4,1003.8,903.8,3,13.33,TRUE,TRUE
212.6,0,100.4,159.4,10.4,1003.8,903.8,14,25.37,TRUE,TRUE
212.6,0,100.4,159.4,10.4,1003.8,903.8,28,37.4,TRUE,TRUE
212.6,0,100.4,159.4,10.4,1003.8,903.8,56,44.4,TRUE,TRUE
212.6,0,100.4,159.4,10.4,1003.8,903.8,100,47.74,TRUE,TRUE
212,0,124.8,159,7.8,1085.4,799.5,3,19.52,TRUE,TRUE
212,0,124.8,159,7.8,1085.4,799.5,14,31.35,TRUE,TRUE
212,0,124.8,159,7.8,1085.4,799.5,28,38.5,TRUE,TRUE
212,0,124.8,159,7.8,1085.4,799.5,56,45.08,TRUE,TRUE
212,0,124.8,159,7.8,1085.4,799.5,100,47.82,TRUE,TRUE
231.8,0,121.6,174,6.7,1056.4,778.5,3,15.44,TRUE,TRUE
231.8,0,121.6,174,6.7,1056.4,778.5,14,26.77,TRUE,TRUE
231.8,0,121.6,174,6.7,1056.4,778.5,28,33.73,TRUE,TRUE
231.8,0,121.6,174,6.7,1056.4,778.5,56,42.7,TRUE,TRUE
231.8,0,121.6,174,6.7,1056.4,778.5,100,45.84,TRUE,TRUE
251.4,0,118.3,188.5,5.8,1028.4,757.7,3,17.22,TRUE,TRUE
251.4,0,118.3,188.5,5.8,1028.4,757.7,14,29.93,TRUE,TRUE
251.4,0,118.3,188.5,5.8,1028.4,757.7,28,29.65,TRUE,TRUE
251.4,0,118.3,188.5,5.8,1028.4,757.7,56,36.97,TRUE,TRUE
251.4,0,118.3,188.5,5.8,1028.4,757.7,100,43.58,TRUE,TRUE
251.4,0,118.3,188.5,6.4,1028.4,757.7,3,13.12,TRUE,TRUE
251.4,0,118.3,188.5,6.4,1028.4,757.7,14,24.43,TRUE,TRUE
251.4,0,118.3,188.5,6.4,1028.4,757.7,28,32.66,TRUE,TRUE
251.4,0,118.3,188.5,6.4,1028.4,757.7,56,36.64,TRUE,TRUE
251.4,0,118.3,188.5,6.4,1028.4,757.7,100,44.21,TRUE,TRUE
181.4,0,167,169.6,7.6,1055.6,777.8,3,13.62,TRUE,TRUE
181.4,0,167,169.6,7.6,1055.6,777.8,14,21.6,TRUE,TRUE
181.4,0,167,169.6,7.6,1055.6,777.8,28,27.77,TRUE,TRUE
181.4,0,167,169.6,7.6,1055.6,777.8,56,35.57,TRUE,TRUE
181.4,0,167,169.6,7.6,1055.6,777.8,100,45.37,TRUE,TRUE
182,45.2,122,170.2,8.2,1059.4,780.7,3,7.32,TRUE,TRUE
182,45.2,122,170.2,8.2,1059.4,780.7,14,21.5,TRUE,TRUE
182,45.2,122,170.2,8.2,1059.4,780.7,28,31.27,TRUE,TRUE
182,45.2,122,170.2,8.2,1059.4,780.7,56,43.5,TRUE,TRUE
182,45.2,122,170.2,8.2,1059.4,780.7,100,48.67,TRUE,TRUE
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4,TRUE,TRUE
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51,TRUE,TRUE
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12,TRUE,TRUE
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15,TRUE,TRUE
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15,TRUE,TRUE
290.4,0,96.2,168.1,9.4,961.2,865,3,22.5,TRUE,TRUE
290.4,0,96.2,168.1,9.4,961.2,865,14,34.67,TRUE,TRUE
290.4,0,96.2,168.1,9.4,961.2,865,28,34.74,TRUE,TRUE
290.4,0,96.2,168.1,9.4,961.2,865,56,45.08,TRUE,TRUE
290.4,0,96.2,168.1,9.4,961.2,865,100,48.97,TRUE,TRUE
277.1,0,97.4,160.6,11.8,973.9,875.6,3,23.14,TRUE,TRUE
277.1,0,97.4,160.6,11.8,973.9,875.6,14,41.89,TRUE,TRUE
277.1,0,97.4,160.6,11.8,973.9,875.6,28,48.28,TRUE,TRUE
277.1,0,97.4,160.6,11.8,973.9,875.6,56,51.04,TRUE,TRUE
277.1,0,97.4,160.6,11.8,973.9,875.6,100,55.64,TRUE,TRUE
295.7,0,95.6,171.5,8.9,955.1,859.2,3,22.95,TRUE,TRUE
295.7,0,95.6,171.5,8.9,955.1,859.2,14,35.23,TRUE,TRUE
295.7,0,95.6,171.5,8.9,955.1,859.2,28,39.94,TRUE,TRUE
295.7,0,95.6,171.5,8.9,955.1,859.2,56,48.72,TRUE,TRUE
295.7,0,95.6,171.5,8.9,955.1,859.2,100,52.04,TRUE,TRUE
251.8,0,99.9,146.1,12.4,1006,899.8,3,21.02,TRUE,TRUE
251.8,0,99.9,146.1,12.4,1006,899.8,14,33.36,TRUE,TRUE
251.8,0,99.9,146.1,12.4,1006,899.8,28,33.94,TRUE,TRUE
251.8,0,99.9,146.1,12.4,1006,899.8,56,44.14,TRUE,TRUE
251.8,0,99.9,146.1,12.4,1006,899.8,100,45.37,TRUE,TRUE
249.1,0,98.8,158.1,12.8,987.8,889,3,15.36,TRUE,TRUE
249.1,0,98.8,158.1,12.8,987.8,889,14,28.68,TRUE,TRUE
249.1,0,98.8,158.1,12.8,987.8,889,28,30.85,TRUE,TRUE
249.1,0,98.8,158.1,12.8,987.8,889,56,42.03,TRUE,TRUE
249.1,0,98.8,158.1,12.8,987.8,889,100,51.06,TRUE,TRUE
252.3,0,98.8,146.3,14.2,987.8,889,3,21.78,TRUE,TRUE
252.3,0,98.8,146.3,14.2,987.8,889,14,42.29,TRUE,TRUE
252.3,0,98.8,146.3,14.2,987.8,889,28,50.6,TRUE,TRUE
252.3,0,98.8,146.3,14.2,987.8,889,56,55.83,TRUE,TRUE
252.3,0,98.8,146.3,14.2,987.8,889,100,60.95,TRUE,TRUE
246.8,0,125.1,143.3,12,1086.8,800.9,3,23.52,TRUE,TRUE
246.8,0,125.1,143.3,12,1086.8,800.9,14,42.22,TRUE,TRUE
246.8,0,125.1,143.3,12,1086.8,800.9,28,52.5,TRUE,TRUE
246.8,0,125.1,143.3,12,1086.8,800.9,56,60.32,TRUE,TRUE
246.8,0,125.1,143.3,12,1086.8,800.9,100,66.42,TRUE,TRUE
275.1,0,121.4,159.5,9.9,1053.6,777.5,3,23.8,TRUE,TRUE
275.1,0,121.4,159.5,9.9,1053.6,777.5,14,38.77,TRUE,TRUE
275.1,0,121.4,159.5,9.9,1053.6,777.5,28,51.33,TRUE,TRUE
275.1,0,121.4,159.5,9.9,1053.6,777.5,56,56.85,TRUE,TRUE
275.1,0,121.4,159.5,9.9,1053.6,777.5,100,58.61,TRUE,TRUE
297.2,0,117.5,174.8,9.5,1022.8,753.5,3,21.91,TRUE,TRUE
297.2,0,117.5,174.8,9.5,1022.8,753.5,14,36.99,TRUE,TRUE
297.2,0,117.5,174.8,9.5,1022.8,753.5,28,47.4,TRUE,TRUE
297.2,0,117.5,174.8,9.5,1022.8,753.5,56,51.96,TRUE,TRUE
297.2,0,117.5,174.8,9.5,1022.8,753.5,100,56.74,TRUE,TRUE
213.7,0,174.7,154.8,10.2,1053.5,776.4,3,17.57,TRUE,TRUE
213.7,0,174.7,154.8,10.2,1053.5,776.4,14,33.73,TRUE,TRUE
213.7,0,174.7,154.8,10.2,1053.5,776.4,28,40.15,TRUE,TRUE
213.7,0,174.7,154.8,10.2,1053.5,776.4,56,46.64,TRUE,TRUE
213.7,0,174.7,154.8,10.2,1053.5,776.4,100,50.08,TRUE,TRUE
213.5,0,174.2,154.6,11.7,1052.3,775.5,3,17.37,TRUE,TRUE
213.5,0,174.2,154.6,11.7,1052.3,775.5,14,33.7,TRUE,TRUE
213.5,0,174.2,154.6,11.7,1052.3,775.5,28,45.94,TRUE,TRUE
